company,bbi_index,city,state,capacity_mmg_per_y,feedstock,status,address,coordinates,latitude,longitude,source
American GreenFuels,,New Haven,Connecticut,35,,,,,41.2901,-72.9029,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.15
Down To Earth Energy LLC,,Monroe,Georgia,2,,,,,33.75717,-83.7277,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.16
Maine Bio-Fuel Inc,,Portland,Maine,1,,,,,43.6914,-70.3281,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.17
Cape Cod Biofuels Inc,,Sandwich,Massachusetts,1,,,,,41.7177,-70.4845,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.18
Renewable Fuels by Peterson,,North Haverhill,New Hampshire,8,,,,,44.077,-72.0047,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.19
Blue Ridge Biofuels LLC,,Newton,North Carolina,2,,,,,35.6058,-81.30837,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.20
Lake Erie Biofuels LLC,,Erie,Pennsylvania,45,,,,,42.143,-80.0496,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.21
World Energy Harrisburg LLC,,Camp Hill,Pennsylvania,19,,,,,40.2122,-76.939,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.22
Southeast Biodiesel/South Carolina LLC,,Charleston,South Carolina,5,,,,,32.8772,-79.9698,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.23
Virginia Biodiesel Refinery LLC,,West Point,Virginia,5,,,,,37.515,-76.8422,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.24
Adkins Energy LLC,,Lena,Illinois,4,,,,,42.3638,-89.8039,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.25
Incobrasa Industries Ltd,,Gilman,Illinois,62,,,,,40.7624,-88.0143,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.26
Renewable Energy Group,,Danville,Illinois,50,,,,,40.1292,-87.6191,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.27
Renewable Energy Group,,Seneca,Illinois,76,,,,,41.3067,-88.5902,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.28
Alternative Fuel Solutions LLC,,Huntington,Indiana,3,,,,,40.9519,-85.4906,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.29
Louis Dreyfus Agricultural Industries LLC,,Claypool,Indiana,99,,,,,41.123,-85.8901,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.30
AG Processing,,Algona,Iowa,76,,,,,43.0776,-94.1875,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.31
AG Processing,,Sgt Bluff,Iowa,76,,,,,42.3052,-96.3623,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.32
Cargill Inc,,Iowa Falls,Iowa,70,,,,,42.5121,-93.2645,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.33
Hero BX Clinton,,Clinton,Iowa,10,,,,,41.80113,-90.335543,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.34
Iowa Renewable Energy LLC,,Washington,Iowa,36,,,,,41.3069,-91.6686,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.35
Lva Crawfordsville Biofuel LLC,,Crawfordsville,Iowa,10,,,,,41.192,-91.5263,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.36
Renewable Energy Group,,Mason City,Iowa,38,,,,,43.1344,-93.2644,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.37
Renewable Energy Group,,Newton,Iowa,38,,,,,41.7329,-93.0194,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.38
Renewable Energy Group,,Ralston,Iowa,49,,,,,42.0457,-94.6415,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.39
Western Dubuque Biodiesel LLC,,Farley,Iowa,36,,,,,42.4514,-91.0218,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.40
Western Iowa Energy LLC,,Wall Lake,Iowa,45,,,,,42.2555,-95.0911,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.41
Cargill Inc,,Wichita,Kansas,91,,,,,37.7085,-97.3277,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.42
Owensboro Grain Biodiesel LLC,,Owensboro,Kentucky,56,,,,,37.7852,-87.1429,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.43
Adrian Lva Biofuel LLC,,Adrian,Michigan,15,,,,,41.8877,-84.0738,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.44
Thumb Bioenergy LLC,,Sandusky,Michigan,1,,,,,43.4167,-82.816,https://atlas.eia.gov/datasets/79dad60ce89c47519452a2959d49acd8/explore?location=33.831237%2C-93.987910%2C4.45
