Address,COUNTY,City,Company,Join_Count,MASTERTYPE,State,Subtype,TARGET_FID,Type,Zip,TYPE,wkt_geom,geom,latitude,longitude
327 Daniels Ln,Kern,Bakersfield,Real Almond Processing,1.0,almond,CA,almond,0.0,shelling,93307,PROC,0101000020E610000090A6D5EBF1BF5DC0D652E5208DAC4140,POINT (-118.9991407 35.3480569),35.3480569,-118.9991407
26060 Colusa Road,Fresno,Coalinga,Harris Woolf,1.0,almond,CA,almond,1.0,shelling,93210,PROC,0101000020E6100000931B45D61A175EC0EC67B114C9154240,POINT (-120.361013 36.170199),36.170199,-120.361013
21490 Ortigalita Rd,Merced,Los Banos,Parreira Almond Processing,1.0,almond,CA,almond,2.0,shelling,93635,PROC,0101000020E610000008951348E4375EC00937B62ACB7D4240,POINT (-120.8733082 36.98276266),36.98276266,-120.8733082
8800 S Minturn Rd,Merced,Le Grand,Minturn Nut Co Inc,1.0,almond,CA,almond,3.0,shelling,95333,PROC,0101000020E6100000E025DD3B8F115EC0B26066C8C6944240,POINT (-120.2743673 37.16231637),37.16231637,-120.2743673
,Stanislaus,,Tree Nuts LLC,1.0,almond,CA,almond,4.0,shelling,0,PROC,0101000020E61000007CD3F4D901365EC07E37DDB243BE4240,POINT (-120.843863 37.486441),37.486441,-120.843863
4618 N Montpelier Rd,Stanislaus,Denair,Roy Johnson Farms Inc,1.0,almond,CA,almond,5.0,shelling,95316,PROC,0101000020E61000001CB62DCAEC2C5EC0173745B20DC54240,POINT (-120.7019525 37.53948048),37.53948048,-120.7019525
2656 House Ave,Butte,Durham,Antonowich hulling,1.0,almond,CA,almond,6.0,shelling,95938,PROC,0101000020E6100000CC7C073FF1735EC0539CFE4701D04340,POINT (-121.8115995 39.6250391),39.6250391,-121.8115995
3190 CA 45,Glenn,Glenn,River West Processing,1.0,almond,CA,almond,7.0,shelling,95943,PROC,0101000020E6100000954330B374805EC0B266438252D14340,POINT (-122.0071228 39.63533047),39.63533047,-122.0071228
1026 Sheridan Avenue,Butte,Chico,Western Nut Company,1.0,almond,CA,almond,8.0,shelling,95926,PROC,0101000020E61000006C0B2A0538755EC02C34C63D4CDF4340,POINT (-121.8315442 39.7445142),39.7445142,-121.8315442
10665 E Whitmore Ave,Stanislaus,Hughson,"Hudelson Nut Company, Inc.",1.0,almond,CA,almond,9.0,shelling,95326,PROC,0101000020E6100000E8C64F3E18335EC0F4BF01D223CC4240,POINT (-120.7983547 37.59484315),37.59484315,-120.7983547
11173 Mercedes Ave,Stanislaus,Livingston,"Hughson Nut, Inc.",1.0,almond,CA,almond,10.0,shelling,95334,PROC,0101000020E610000084B46BE7A0335EC0244F8A3D51CD4240,POINT (-120.8066958 37.60404176),37.60404176,-120.8066958
11591 Meridian Rd.,Butte,Chico,"Fair Trade Corner, Inc.",1.0,almond,CA,almond,11.0,shelling,95973,PROC,0101000020E61000000EF049CCD87A5EC096FECAEFD9DC4340,POINT (-121.9194823 39.7254009),39.7254009,-121.9194823
11900 E Monte Vista Ave,Stanislaus,Denair,"JD Almond Farms, Inc.",1.0,almond,CA,almond,12.0,shelling,95316,PROC,0101000020E61000006174D42CAB2D5EC0F93936E953C24240,POINT (-120.7135727 37.51818576),37.51818576,-120.7135727
1217 Root Rd.,Stanislaus,Modesto,Circle M Nut Co.,1.0,almond,CA,almond,13.0,shelling,95357,PROC,0101000020E6100000EAF2412A20395EC01262D3EF67D44240,POINT (-120.8925882 37.6594219),37.6594219,-120.8925882
12245 Sunny Acres Ave.,Merced,Turlock,"Sunny Acres Nut Company, Inc.",1.0,almond,CA,almond,14.0,shelling,95380,PROC,0101000020E610000094D519845E2D5EC09EDD109928BC4240,POINT (-120.7088938 37.46998895),37.46998895,-120.7088938
1260 Muir Avenue,Butte,Chico,"Farmers International, Inc.",1.0,almond,CA,almond,15.0,shelling,95973,PROC,0101000020E6100000B72CBA50D4795EC0157FCAE7CBDF4340,POINT (-121.9035837 39.7484102),39.7484102,-121.9035837
12700 East Graves Road,San Joaquin,Manteca,"Travaille & Phippen, Inc.",1.0,almond,CA,almond,16.0,shelling,95336,PROC,0101000020E6100000439259BDC3495EC051D8A8FBBEE34240,POINT (-121.152572 37.77926584),37.77926584,-121.152572
1324 Dayton Rd.,Butte,Chico,Maisie Jane's,1.0,almond,CA,almond,17.0,shelling,95928,PROC,0101000020E610000041D8840F00765EC031067BB889DB4340,POINT (-121.8437537 39.7151404),39.7151404,-121.8437537
1329 Hazeldean Rd.,Stanislaus,Hickman,Grizzly Nut LLC,1.0,almond,CA,almond,18.0,shelling,95323,PROC,0101000020E6100000B939950C002F5EC08A213999B8CF4240,POINT (-120.734378 37.622821),37.622821,-120.734378
13646 Hwy 33,Los Angeles,Los Angeles,Wonderful Pistachios & Almonds LLC,1.0,almond,CA,almond,19.0,shelling,90064,PROC,0101000020E6100000ACA8C1340C9B5DC004029D499B044140,POINT (-118.42262 34.035989),34.035989,-118.42262
137 North Hart Road,Stanislaus,Modesto,Fisher Nut Company,1.0,almond,CA,almond,20.0,shelling,95358,PROC,0101000020E6100000052C5ED1D2475EC080954BFCB4D14240,POINT (-121.1222423 37.63833574),37.63833574,-121.1222423
13762 1st Avenue,Kings,Hanford,Nichols Pistachio,1.0,almond,CA,almond,21.0,shelling,93230,PROC,0101000020E61000006C651DE967DE5DC085B6F704E4224240,POINT (-119.4750922 36.2725836),36.2725836,-119.4750922
13890 Looney Rd.,Merced,Ballico,"Hilltop Ranch, Inc.",1.0,almond,CA,almond,22.0,shelling,95303,PROC,0101000020E61000004D8578245E285EC01011CC0B0FBD4240,POINT (-120.630746 37.47702167),37.47702167,-120.630746
13890 Looney Road,Merced,Ballico,Long Valley Organic LP,1.0,almond,CA,almond,23.0,shelling,95303,PROC,0101000020E61000004D8578245E285EC01011CC0B0FBD4240,POINT (-120.630746 37.47702167),37.47702167,-120.630746
144 Westlake Avenue,Santa Cruz,Watsonville,Int'l Almond Exchange Inc.,1.0,almond,CA,almond,24.0,shelling,95076,PROC,0101000020E610000072158BDF14725EC008008E3D7B784240,POINT (-121.782524 36.941261),36.941261,-121.782524
14650 Co Rd 87,Yolo,Esparto,Capay Canyon Ranch,1.0,almond,CA,almond,25.0,shelling,95627,PROC,0101000020E6100000D3A23EC91D815EC00A85083884584340,POINT (-122.017443 38.691535),38.691535,-122.017443
14827 W. Harding Rd.,Merced,Turlock,"Select Harvest USA, LLC",1.0,almond,CA,almond,26.0,shelling,95380,PROC,0101000020E610000073405C8308305EC03F89B60040BB4240,POINT (-120.7505196 37.46289071),37.46289071,-120.7505196
14827 W. Harding Rd.,Merced,Turlock,Spycher Brothers,1.0,almond,CA,almond,27.0,shelling,95380,PROC,0101000020E610000073405C8308305EC03F89B60040BB4240,POINT (-120.7505196 37.46289071),37.46289071,-120.7505196
14827 W. Harding Rd.,Merced,Turlock,Trinity Nut Company,1.0,almond,CA,almond,28.0,shelling,95380,PROC,0101000020E610000073405C8308305EC03F89B60040BB4240,POINT (-120.7505196 37.46289071),37.46289071,-120.7505196
"14900 W. Belmont Ave., #2",Fresno,Kerman,"Purity Organics, Inc.",1.0,almond,CA,almond,29.0,shelling,93630,PROC,0101000020E6100000126FF838AE035EC0F000AA132B604240,POINT (-120.0575087 36.7513146),36.7513146,-120.0575087
1502 S. Railroad Avenue,Glenn,Orland,"T. M. Duche Nut Co., Inc.",1.0,almond,CA,almond,30.0,shelling,95963,PROC,0101000020E6100000697EEB796D8C5EC0CBF6DF5267DE4340,POINT (-122.1941819 39.73752819),39.73752819,-122.1941819
1518 K Street,Stanislaus,Modesto,Montpelier Nut Co.,1.0,almond,CA,almond,31.0,shelling,95354,PROC,0101000020E6100000CB411A5FC53F5EC0FDC77C1F92D24240,POINT (-120.9964216 37.64508432),37.64508432,-120.9964216
15391 Vinewood Ave,Merced,Livingston,Del Rio Nut Company,1.0,almond,CA,almond,32.0,shelling,95334,PROC,0101000020E6100000C630CCAEA0305EC0366EB5775BB14240,POINT (-120.7598073 37.38560387),37.38560387,-120.7598073
15443 Beech Avenue,Kern,Wasco,"South Valley Almond Company, LLC",1.0,almond,CA,almond,33.0,shelling,93280,PROC,0101000020E61000008285DDC199D05DC0294AB67880CC4140,POINT (-119.2593846 35.59767064),35.59767064,-119.2593846
1550 Industrial Dr.,San Joaquin,Stockton,"Pearl Crop, Inc.",1.0,almond,CA,almond,34.0,shelling,95206,PROC,0101000020E6100000C2E567D949505EC0517DCE7A84F44240,POINT (-121.2545074 37.91029296),37.91029296,-121.2545074
15516 South Walnut Ave.,Fresno,Caruthers,"Almonds California Pride, Inc.",1.0,almond,CA,almond,35.0,shelling,93609,PROC,0101000020E61000000F29064834F35DC0309B00C3F2404240,POINT (-119.800066 36.5074085),36.5074085,-119.800066
15516 South Walnut Ave.,Fresno,Caruthers,Campos Brothers,1.0,almond,CA,almond,36.0,shelling,93609,PROC,0101000020E61000000F29064834F35DC0309B00C3F2404240,POINT (-119.800066 36.5074085),36.5074085,-119.800066
1555 Warren Rd.,San Joaquin,Ripon,"Almond Ace Packing, Inc.",1.0,almond,CA,almond,37.0,shelling,95366,PROC,0101000020E610000094D920938C485EC0D12E5351C4E04240,POINT (-121.13358 37.75599114),37.75599114,-121.13358
16219 Western Ave,Kern,Wasco,Mandelin Inc.,1.0,almond,CA,almond,38.0,shelling,93280,PROC,0101000020E6100000D427B9C326D85DC0562DC81A1EC84140,POINT (-119.377366 35.56341872),35.56341872,-119.377366
1640 W. Dovewood Lane,Fresno,Fresno,Jeff Curry & Associates,1.0,almond,CA,almond,39.0,shelling,93711,PROC,0101000020E61000001B5EB5D7A7F45DC0B3A3271BC5684240,POINT (-119.8227443 36.8185152),36.8185152,-119.8227443
16471 W. Whitesbridge Rd.,Fresno,Kerman,"Schaad Family Almonds, Inc.",1.0,almond,CA,almond,40.0,shelling,93630,PROC,0101000020E61000007967A32971055EC04FA5B09CCE5D4240,POINT (-120.0850319 36.7328678),36.7328678,-120.0850319
16897 Highway 43,Kern,Wasco,Supreme Almonds of California,1.0,almond,CA,almond,41.0,shelling,93280,PROC,0101000020E61000005A547A5C0AD55DC0B2CF8C1399C54140,POINT (-119.3287574 35.54373402),35.54373402,-119.3287574
