resource_name,commodity_name,api_name,usda_code,match_tier,note
alfalfa,HAY  ALFALFA (DRY),HAY,18199999.0,DIRECT_MATCH,Matched by enhanced_commodity_mapper.py - user_approved - DIRECT_MATCH - similarity: 53.60% - 2026-02-04T18:33:09.598916
cotton stem mix,COTTON  UPLAND,COTTON,12121999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 43.94% - 2026-02-04T18:33:09.639517
pistachio hulls,PISTACHIO NUTS,PISTACHIOS,26807999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 64.66% - 2026-02-04T18:33:09.675702
pistachio shells,PISTACHIO NUTS,PISTACHIOS,26807999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 59.00% - 2026-02-04T18:33:09.679296
rice hulls,RICE  ALL,RICE,10619999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 59.21% - 2026-02-04T18:33:09.698265
rice straw,RICE  ALL,RICE,10619999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 52.89% - 2026-02-04T18:33:09.702127
wheat straw,WHEAT,WHEAT,10199999.0,DIRECT_MATCH,Matched by enhanced_commodity_mapper.py - user_approved - DIRECT_MATCH - similarity: 55.00% - 2026-02-04T18:33:09.746839
almond branches,ALMONDS,ALMONDS,26199999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 38.18% - 2026-02-04T18:33:09.602533
almond hulls,ALMONDS,ALMONDS,26199999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 44.21% - 2026-02-04T18:33:09.605829
almond shells,ALMONDS,ALMONDS,26199999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 42.00% - 2026-02-04T18:33:09.609025
almond shells and hulls mix,ALMONDS,ALMONDS,26199999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - Updated 2026-02-12 to match other almond resources
almond stick char,ALMONDS,ALMONDS,26199999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 35.00% - 2026-02-04T18:33:09.612924
almond woodchips,ALMONDS,ALMONDS,26199999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 36.52% - 2026-02-04T18:33:09.617244
corn stover cobs,CORN  ALL,CORN,11199999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 39.63% - 2026-02-04T18:33:09.622165
corn stover husks,CORN  ALL,CORN,11199999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 38.53% - 2026-02-04T18:33:09.626496
corn stover stalks,CORN  ALL,CORN,11199999.0,CROP_FALLBACK,Matched by enhanced_commodity_mapper.py - user_approved - CROP_FALLBACK - similarity: 46.39% - 2026-02-04T18:33:09.631356
